Date,Ticker,News_Text,Keyword,Source,URL
2026-05-08,ADRO.JK,"Emiten Boy Thohir Kasih Dividen Rp 118,26 per Saham - investor.id",ADRO saham,Google News RSS,https://news.google.com/rss/articles/CBMiiwFBVV95cUxQQ0ZLYTJ1MVNELXRyRUZzTDdFRTIzQmxoZFhBc3hlWTJvRTZQdTgxd0d4LVpzTWJrdFYxcEktWmtTTkRETndyS1ZDTVVwSDVUeWFkTHdINDBrRkxJMlVpY0J4ZWZHUFhBSlBXa3RvWGdqQ3NMRG9yUE5ITlJFdUpZZFo1Q1NGMUxiU29V?oc=5
2026-05-07,ADRO.JK,"Harga Batubara Tetap Membara, Berkah Saham ADRO, BUMI, hingga BYAN Masih Terbuka - KONTAN",ADRO saham,Google News RSS,https://news.google.com/rss/articles/CBMisAFBVV95cUxQM3hNWVBQclZvVUlJQ29YVDE0X24tRXRwcnJaSmpfc3d2OEZSWlV5VlBFNFF4RzdrbjhncDBtNXRMTWc5OHc0RTNIQXEtcTdDNEx5bThUTWxoMDgyRkJDb2FmRHY5eFJTTXZTbGJtclIyZjZwTTJGTTNVLUhndFJyWnZjeFZyQk5QVG4tVGVBellIRGVOeEpvam9aenlCNmJLS1hhWGtyX0J3UEkzZFp0TQ?oc=5
2026-05-07,ADRO.JK,Bocoran Prospek Saham ADRO Usai Guyur Dividen 2026 - Bisnis Indonesia Premium,ADRO saham,Google News RSS,https://news.google.com/rss/articles/CBMipgFBVV95cUxNNGtBZVhac2xCNURuNEFnZlVUVDhIMWdFZTRyTXR2ZnVOZmNPN3lqYmRvTXNnbVlIWFRrbEc2aUlOUXRQczhZVTJybW4xQnJjbFJRZUN4R3d4eDllM1FldDF1VVF6azdaZWJQUkVvdW5qSTN0UGJrS2I1dnVsTnlaSlRHa2lRdnhId2tsX3ZLNk1zOG9UWlVleE9yMU1pMXhuY1ZMN1hn?oc=5
2026-05-07,ADRO.JK,"Asing Masih Kabur Rp182 Miliar Sesi I, BRPT hingga ADRO Dilepas - KabarBursa.com",ADRO saham,Google News RSS,https://news.google.com/rss/articles/CBMiqAFBVV95cUxQS2dfdUh1amZFZFdkNUh6V1AwYV85X21jNmpnaVZCSXRHQXBnM01UckVCOUJMTEo0SnNQdXpXN1pWSTQ1SFBmVFpZZy1FSHhtVEtia3ZZbkpSS0hrdDZXVElxWWtEdENHaHdIb0Y1ZUZUcHZaTVpnT204NmlPZ05KMTRQY20zUXh3WmwyUUdRX3NVMlNmaEdmdlNzaEFTc3hvWGFBX0xNYmM?oc=5
2026-05-07,ADRO.JK,"Asing mulai masuk pasar modal RI, borong saham BRPT, ADRO, hingga INDF - MSN",ADRO saham,Google News RSS,https://news.google.com/rss/articles/CBMivgFBVV95cUxOLUJ5YnNoMXNzVUxIQ3U0N0dLblVzSVdtWWFDSnA3akJpcDloUHU3SXQ1YmIwX2JHd2R6bHBmZFFzUVZHOElCSWtRYWpMT1pCUVlDRFh5cDd5dWpBSGFrc2xvOHVTR01iQWZzRTFWM2oyYm51bWQtWHBjVXU3QVpkVzRqS3R2MHI1VktFaENxdTFCajdVaDdIT0hrTmQxenF0ZzBNNEtPNTloU01KcXQwUHk3UXlnUnFfNUhoU1lB?oc=5
2026-05-07,ADRO.JK,Daftar 4 Pilihan Saham Potensial dari Kiwoom Sekuritas untuk Perdagangan 7 Mei 2026 - Desakarangbendo.id,Adaro Energy saham,Google News RSS,https://news.google.com/rss/articles/CBMi2gFBVV95cUxQUE1ZY3V6R0pEN1NFYi1sTkwyY2VDWnlaZHJJbG9qcUFkQ2l6TXJFZXAwWmFXdlh5cVYtM0ZPSFR0QWhhbjJ2NmpnNUV0ekE2OVFmZXd0bVZGT1NEdldUS0FETDBaZmt0Tlc4Y2VBOG9oZ0xjMjVIdnhxdzB2Zm05cHNqcUhDelMycnlyRHFNbFlWRTZzZWJndjBQYldZMnM5ZVkwMWxId3BCUzhEdkd0Y1cxYUtWbDN4T0dnU0RvemRCcFVtMTh5a2JRZktYWklnUGZacEZWemxSQQ?oc=5
2026-05-07,ADRO.JK,Rekomendasi 4 Saham Potensial untuk Trading Harian dari BRI Danareksa Sekuritas 2026 - Desakarangbendo.id,Adaro Energy saham,Google News RSS,https://news.google.com/rss/articles/CBMi3gFBVV95cUxOUmQxWk04S0l5RzdCTHV1X01kSXcyLWVNZU55Qmc2a1VlMXV1Y0FHaEQ4bGZ1QldlQ1JTeElWTURGSkkzVGFsdTlEMVp2akpsZFVMcy0zSS1ZdElYOWIwSjc3dWxaRUhOUmRiZFJVcXZ5LXQ2UHgwS2RkYU9maDVwV0ZWeWplVEplOUNBQ0R4SlF2S1FidlBrdExVZmU3OVpKWVBIY0RBSF9lVXZKeUtrLVNwaUpoWW9VUUwyLWtrclZwNUhLS1FkQVhPd0hhM2s5aEtGdTNOQ2dHWExkeWc?oc=5
2026-05-07,ADRO.JK,Analisis 4 Saham Pilihan MNC Sekuritas Saat IHSG Berisiko Koreksi di Awal Mei 2026 Ini - Desakarangbendo.id,Adaro Energy saham,Google News RSS,https://news.google.com/rss/articles/CBMi3gFBVV95cUxOVDVuakV0TDc3Sjh2dndMZWNSWS12S09PM3oxaXB5UldOLUVUQjNTWC0yWWwzcTZJWGtaY0ZWUEZKbUkwNDRwRzNzMGNwLW0zU1BMclJJc0NBcXZXZTF4dldMNUV5cjREZDB5dW5zVWJRLWVVcUo5cEFTQ2hMRFFkNG40TXhyYVpOMkpBaFBCdGtIajk1akRqOTVIU0ZKNk1DZXpTaVZHR3pocjhVMFBOY1VGbFMzX3NGcHBsaW42VVI4ZXBLbHpTQzhUOXFMYzhOTldFN0VpZWt0ZU43SFE?oc=5
2026-05-06,ADRO.JK,"Rekomendasi Saham Hari Ini: ADRO, INDY, INET & RAJA, IHSG Berpeluang Menguat Terbatas - Bareksa.com",ADRO saham,Google News RSS,https://news.google.com/rss/articles/CBMixgFBVV95cUxNX0ZqUWQzaXBVSDNrY3JtWjExbXBJTXdXUUwzZnd1amt3OG90NzJoeHlCcnQ0VUFmWGxDWVAzRWxTcXV6RjNTenFvcHQzVGZ1eVBNUE5VeU5TXzctYU1EVHZmbnNoN0Z0TjlkeVpJWHc2RVBhd3luSFR2MTdNZ2llYTY2cHk1RGZoZ2JYX1BPSDRrRlFMeDAyMG92MXpqMGlKRTROdkExNUtZZS04Y0ZtMGhqLS1ZSW9WOVM4SG0tNTN6YWh1VXc?oc=5
2026-05-06,ADRO.JK,"Rekomendasi Saham Hari Ini: ADRO, INDY, INET & RAJA-IHSG Diprediksi Menguat Terbatas, Mana yang Paling Cuan? - digivestasi.com",ADRO saham,Google News RSS,https://news.google.com/rss/articles/CBMi6wFBVV95cUxNTjNYdndHN3JhdFBJcjFlbFUwQ3l2YTZOdklXVnBLeENHOFhyY01IWW50ZlhQRlFMejZ6QklnNVNuOVR2Uk1Zb2ZoVkthNko1eG9GeUF4d015bDM4QmE1cEgxZEVEYjI0eFVMTURLMTdWZzIxYkdScWtOUXk0eVQ5ZmlKUnZlQk1KeXBGblEwUWNOam9ncXBCYWFwSWQ0YTBpSWdJWmlla0FBczdYTTZiMnUwU3JWcks3YmlLWDFrMXZEWDRKSzdrZXo5end5dXJaX3BwREdyLUFyLUlGRVhVeEUtWDk3eEI0UGRr?oc=5
